termo,mean_tfidf
brilho,0.001702640339363527
mudanca,0.0016996846741223392
area,0.0016967493258484587
pensei,0.0016959618685730602
eficiente,0.0016898836889656843
manera,0.001689006284236315
muito obrigada,0.001688076396234358
sofisticado,0.001679847382532972
ganha,0.001679765684537465
experimentar,0.0016785843828656774
van,0.0016776518148922865
gente quer,0.001677317709706423
fernanda,0.0016746828419687996
data,0.0016742828375725474
demais,0.0016736061456101672
feliz,0.0016692017466727448
cronos,0.0016690758401159897
gente fala,0.0016671659451022761
vai dar,0.0016665330797547282
obrigada speaker,0.001666321265767526
tambem acho,0.0016661081303756705
speaker acha,0.001664815780958999
funciona,0.0016646530308347023
perfil,0.001663798573764555
justo,0.0016614454909826125
vamos ver,0.001660683064017466
llama,0.0016579099660017358
somos,0.0016570117468679235
nivel,0.0016560601745732259
sei speaker,0.001654125332378017
natural speaker,0.0016476791943718955
revista interativa,0.0016475090142768895
speaker mim,0.001645813817185086
moro,0.0016434416656932096
vai falar,0.0016416476313314556
gostar,0.0016405116013397008
complemento,0.0016400041139156677
deixa ver,0.0016399554062318223
nuevo,0.0016385157824650354
abre,0.0016376337971810667
tem gente,0.0016348010644018785
frete,0.0016327827073961856
senti,0.0016316902282968667
textura,0.0016300284791565581
vendedora,0.0016299020779530062
linda,0.0016272445290513296
medio,0.0016263601991423574
speaker exatamente,0.0016230735021864663
percepcao,0.0016206519555799631
promocoes,0.0016152147965343138
bate,0.0016146095755395834
deveria,0.0016140534695308238
speaker creo,0.001611157916570567
maioria,0.0016104364695850356
speaker mesmo,0.0016094793788586446
foram,0.0016056887484703034
acho mais,0.001605114731099218
tucuma,0.0016023457956842822
gente falou,0.001602245956569784
segunda,0.0016021233400504969
consegui,0.001602086376133465
mente,0.0016020819498988525
mar acho,0.001601556183714692
chique,0.001596898309331502
esta bien,0.0015964931644779086
receber,0.0015964154373444622
speaker deixa,0.0015891704881655481
pede,0.0015885779141917118
totalmente,0.0015857627695839498
vou comprar,0.0015826315213995992
diversidade,0.001580869557949054
ultimo,0.0015759514182820222
paso,0.0015736976334193497
arrugas,0.0015685082136677616
roxa,0.0015681970162361718
entende,0.001567141755704033
speaker coisa,0.001566330126019709
visao,0.0015660387491820058
sienten,0.0015647314748922971
hecho,0.0015645668677652267
querendo,0.0015633356313304685
seguinte,0.0015631397999950512
mascara,0.0015620085502453622
roxa meeting,0.0015615505340357788
confianca,0.0015613234831955963
thais,0.0015601848791391263
bem mais,0.0015596818219764498
exato,0.0015593321803803934
momentos,0.001558822440562659
meses,0.0015566604132132107
boticario speaker,0.0015547140668371133
desses,0.001553748634606065
podem,0.0015531973336257697
tentar,0.0015530350839386624
essa parte,0.0015515569745821885
meio ambiente,0.0015505232671268207
preocupacao,0.0015485513952017446
penso,0.001547760934823196
podria,0.0015468787111710355
assim acho,0.0015463100696978904
proximo,0.0015451364680809183
assim pra,0.0015441549960621874
minimo,0.0015419817515958988
resto,0.0015407025062889735
carrinho,0.0015372145943050662
certa,0.0015368704850230604
brasil,0.0015368290964821894
