doc_id,speaker_id,role_inferido,n_turns,n_words,question_rate,word_share
doc_3d71a73387cbd4a7,6,participant_or_unknown,46,889,0.3695652173913043,0.06100741147405984
doc_3d71a73387cbd4a7,7,interviewer_heuristic,50,2764,0.78,0.18967883612407357
doc_40a5bd913d6434d3,1,participant_or_unknown,3,313,1.0,0.02714892878827305
doc_40a5bd913d6434d3,2,interviewer_heuristic,309,5251,0.8705501618122977,0.45546014398473417
doc_40a5bd913d6434d3,3,participant_or_unknown,175,3346,0.4057142857142857,0.29022465088038857
doc_40a5bd913d6434d3,4,participant_or_unknown,87,935,0.19540229885057472,0.08109983519819586
doc_40a5bd913d6434d3,5,participant_or_unknown,108,1605,0.4351851851851852,0.13921415560759823
doc_40a5bd913d6434d3,6,participant_or_unknown,27,79,0.1111111111111111,0.006852285540810131
doc_44982372dd74c6da,1,interviewer_heuristic,49,878,0.5306122448979592,0.10668286755771568
doc_44982372dd74c6da,2,interviewer_heuristic,97,6732,0.6907216494845361,0.8179829890643986
doc_44982372dd74c6da,3,interviewer_heuristic,22,377,0.6818181818181818,0.045808019441069256
doc_44982372dd74c6da,4,interviewer_heuristic,17,243,0.5294117647058824,0.029526123936816525
doc_474985d7ea9b5b8b,1,interviewer_heuristic,177,4466,0.615819209039548,0.3274433609502163
doc_474985d7ea9b5b8b,2,participant_or_unknown,39,1107,0.358974358974359,0.08116430823374148
doc_474985d7ea9b5b8b,3,interviewer_heuristic,41,2214,0.5609756097560976,0.16232861646748295
doc_474985d7ea9b5b8b,4,interviewer_heuristic,30,1720,0.7,0.12610895226922794
doc_474985d7ea9b5b8b,5,interviewer_heuristic,45,2040,0.5111111111111111,0.14957108292396804
doc_474985d7ea9b5b8b,6,interviewer_heuristic,30,1101,0.6333333333333333,0.0807243932839651
doc_474985d7ea9b5b8b,7,interviewer_heuristic,22,991,0.7272727272727273,0.0726592858713982
doc_478cbac543cfa72a,1,interviewer_heuristic,230,3798,0.6565217391304348,0.28530649038461536
doc_478cbac543cfa72a,2,interviewer_heuristic,156,4096,0.48717948717948717,0.3076923076923077
doc_478cbac543cfa72a,3,participant_or_unknown,43,524,0.3953488372093023,0.03936298076923077
doc_478cbac543cfa72a,4,participant_or_unknown,69,503,0.2608695652173913,0.03778545673076923
doc_478cbac543cfa72a,5,participant_or_unknown,129,2093,0.35658914728682173,0.1572265625
doc_478cbac543cfa72a,6,participant_or_unknown,91,2298,0.4175824175824176,0.17262620192307693
doc_4b2394cc0e9c67f8,1,interviewer_heuristic,86,8451,0.8255813953488372,0.9566447815259226
doc_4b2394cc0e9c67f8,2,interviewer_heuristic,34,383,0.5294117647058824,0.04335521847407743
doc_4b466654cd374bdf,1,interviewer_heuristic,369,5395,0.6829268292682927,0.3200261003677779
doc_4b466654cd374bdf,2,interviewer_heuristic,345,6973,0.4927536231884058,0.4136315102621901
doc_4b466654cd374bdf,3,interviewer_heuristic,176,2477,0.5056818181818182,0.14693320678609562
doc_4b466654cd374bdf,4,participant_or_unknown,60,997,0.4,0.05914106062403607
doc_4b466654cd374bdf,5,participant_or_unknown,59,1016,0.4406779661016949,0.06026812195990034
doc_4fb6c79b4c64bba8,1,interviewer_heuristic,377,9582,0.8249336870026526,0.5443081117927744
doc_4fb6c79b4c64bba8,2,participant_or_unknown,66,947,0.4090909090909091,0.05379459213815042
doc_4fb6c79b4c64bba8,3,interviewer_heuristic,85,1729,0.5176470588235295,0.09821631447398319
doc_4fb6c79b4c64bba8,4,participant_or_unknown,103,1914,0.39805825242718446,0.1087252897068848
doc_4fb6c79b4c64bba8,5,participant_or_unknown,106,2271,0.41509433962264153,0.12900477164280846
doc_4fb6c79b4c64bba8,6,participant_or_unknown,68,1161,0.3088235294117647,0.06595092024539877
doc_500a84cf9936a539,1,interviewer_heuristic,57,3078,0.6666666666666666,0.35828192294261435
doc_500a84cf9936a539,2,interviewer_heuristic,38,699,0.6842105263157895,0.0813642183680596
doc_500a84cf9936a539,3,interviewer_heuristic,32,2101,0.71875,0.24455825864276567
doc_500a84cf9936a539,4,interviewer_heuristic,33,2713,0.8787878787878788,0.3157956000465604
doc_5054173bba881d3a,1,participant_or_unknown,18,191,0.2777777777777778,0.2705382436260623
doc_5054173bba881d3a,2,interviewer_heuristic,20,515,0.65,0.7294617563739377
doc_52108ac94ef635f9,1,interviewer_heuristic,30,532,0.8,0.07114201658197379
doc_52108ac94ef635f9,2,interviewer_heuristic,115,4996,0.6782608695652174,0.6680930730141749
doc_52108ac94ef635f9,3,interviewer_heuristic,88,1950,0.9318181818181818,0.2607649104038513
doc_52dd07d4014ead58,1,participant_or_unknown,49,1437,0.42857142857142855,0.12553507469205905
doc_52dd07d4014ead58,2,interviewer_heuristic,145,4020,0.6275862068965518,0.35118371625753475
doc_52dd07d4014ead58,3,interviewer_heuristic,50,2297,0.48,0.20066392941382022
doc_52dd07d4014ead58,4,interviewer_heuristic,32,1841,0.53125,0.16082816458460733
doc_52dd07d4014ead58,5,interviewer_heuristic,51,1852,0.5686274509803921,0.16178911505197868
doc_5382bf57549b07cb,1,interviewer_heuristic,182,6130,0.8076923076923077,0.46708320633953065
doc_5382bf57549b07cb,2,interviewer_heuristic,41,2356,0.6097560975609756,0.1795184395001524
doc_5382bf57549b07cb,3,interviewer_heuristic,38,801,0.47368421052631576,0.061033221578786954
doc_5382bf57549b07cb,4,interviewer_heuristic,39,1147,0.5641025641025641,0.08739713501981103
doc_5382bf57549b07cb,5,participant_or_unknown,32,1260,0.40625,0.09600731484303567
doc_5382bf57549b07cb,6,interviewer_heuristic,26,1430,0.6923076923076923,0.10896068271868332
doc_57600d8711fbb9d4,1,interviewer_heuristic,108,7398,0.75,0.8034317984361424
